t,phi
4.22e-08,-0.1409995
4.23e-08,0.06402861
4.24e-08,-0.2278608
4.2500000000000003e-08,0.027867
4.2600000000000004e-08,-0.05798956
4.27e-08,0.02372054
4.28e-08,0.02012861
4.29e-08,-0.1251399
4.3e-08,0.09817957
4.31e-08,0.1381658
4.32e-08,0.1215048
4.3300000000000004e-08,-0.02219863
4.3400000000000005e-08,-0.03640311
4.35e-08,-0.05442752
4.36e-08,-0.05459958
4.37e-08,0.005960335
4.38e-08,0.01001376
4.39e-08,-0.02965804
4.4000000000000004e-08,-0.1097606
4.4100000000000004e-08,-0.1273888
4.42e-08,-0.06283657
4.43e-08,-0.1232193
4.44e-08,-0.01868764
4.45e-08,-0.02293236
4.46e-08,-0.1343132
4.47e-08,-0.07630667
4.4800000000000004e-08,-0.09584224
4.49e-08,-0.08677828
4.5e-08,-0.01254137
4.51e-08,0.09970602
4.52e-08,-0.07534932
4.53e-08,-0.1825922
4.54e-08,-0.02213939
4.5500000000000004e-08,-0.02112355
4.5600000000000005e-08,-0.1292878
4.57e-08,-0.1647119
4.58e-08,-0.04324155
4.59e-08,-0.0416585
4.6e-08,-0.08308965
4.61e-08,-0.04635509
4.6200000000000003e-08,-0.1301008
4.6300000000000004e-08,0.05706207
4.64e-08,0.03619209
4.65e-08,0.0022053
4.66e-08,0.08351148
4.67e-08,-0.05693066
4.68e-08,0.1318737
4.69e-08,0.009448033
4.7000000000000004e-08,0.1272314
4.7100000000000005e-08,-0.1154166
4.72e-08,-0.141795
4.73e-08,-0.04020982
4.74e-08,-0.2138045
4.75e-08,-0.07014959
4.76e-08,-0.05169774
4.7700000000000004e-08,-0.05354752
4.7800000000000005e-08,-0.1098274
4.79e-08,0.03327623
4.8e-08,-0.05456094
4.81e-08,-0.04900477
4.82e-08,-0.04872678
4.83e-08,0.03604798
4.84e-08,-0.09410602
4.8500000000000004e-08,-0.07769776
4.8600000000000005e-08,0.06597427
4.87e-08,-0.04067345
4.88e-08,0.001351213
4.89e-08,-0.1707343
4.9e-08,-0.0463611
4.91e-08,-0.03281314
4.9200000000000004e-08,-0.1042026
4.9300000000000005e-08,-0.03623066
4.94e-08,-0.1221769
4.95e-08,-0.03363845
4.96e-08,-0.0605424
4.97e-08,-0.1886205
4.98e-08,-0.129279
4.9900000000000003e-08,-0.129952
5.0000000000000004e-08,-0.08251906
5.01e-08,-0.01381283
5.02e-08,-0.03556558
5.03e-08,0.05188966
5.04e-08,-0.1102993
5.05e-08,-0.008578739
5.06e-08,-0.05465407
5.0700000000000004e-08,-0.02191725
5.0800000000000005e-08,0.03357253
5.09e-08,-0.004081761
5.1e-08,-0.06533747
5.11e-08,0.09585925
5.12e-08,-0.03503967
5.13e-08,0.03193886
5.1400000000000004e-08,-0.08371802
5.1500000000000005e-08,-0.1053866
5.16e-08,-0.1456459
5.17e-08,-0.01129532
5.18e-08,0.1587948
5.19e-08,-0.01099883
5.2e-08,-0.001797925
5.21e-08,0.0704781
5.2200000000000004e-08,-0.04312957
5.2300000000000005e-08,-0.02513156
5.24e-08,-0.04747164
5.25e-08,-0.05036937
5.26e-08,-0.2005268
5.27e-08,0.01179941
5.28e-08,-0.2172868
5.2900000000000004e-08,-0.05426726
5.3000000000000005e-08,0.02944117
5.31e-08,-0.07943608
5.32e-08,-0.2805885
5.33e-08,-0.09178717
5.34e-08,0.01543243
5.35e-08,-0.1084044
5.3600000000000004e-08,-0.2196333
5.3700000000000004e-08,-0.2083218
5.38e-08,-0.07435621
5.39e-08,0.01812422
5.4e-08,-0.2222946
5.41e-08,-0.08337151
5.42e-08,-0.04460554
5.43e-08,-0.1206085
5.4400000000000004e-08,-0.1701595
5.4500000000000005e-08,-0.1160675
5.46e-08,-0.005299434
5.47e-08,-0.05414079
5.48e-08,-0.1110617
5.49e-08,0.03674063
5.5e-08,-0.05543059
5.5100000000000004e-08,-0.0824321
5.5200000000000005e-08,-0.1960739
5.53e-08,-0.1320329
5.54e-08,-0.1453698
5.55e-08,-0.2525353
5.56e-08,-0.05592596
5.57e-08,-0.09401003
5.5800000000000003e-08,-0.09171257
5.5900000000000004e-08,-0.1885319
5.6000000000000005e-08,-0.1566282
5.61e-08,0.01949661
5.62e-08,-0.1424967
5.63e-08,-0.07630146
5.64e-08,-0.03447369
5.65e-08,-0.1338191
5.6600000000000004e-08,-0.2271537
5.6700000000000005e-08,-0.09441739
5.68e-08,-0.06454308
5.69e-08,-0.01369734
5.7e-08,-0.07603905
5.71e-08,0.03674788
5.72e-08,-0.1696773
5.7300000000000004e-08,-0.1470653
5.7400000000000004e-08,-0.1257317
5.7500000000000005e-08,-0.1651426
5.76e-08,-0.06494703
5.77e-08,0.02573741
5.78e-08,-0.05522538
5.79e-08,-0.05334127
5.8e-08,-0.1372153
5.8100000000000004e-08,-0.03240976
5.8200000000000005e-08,-0.1451652
5.83e-08,-0.1675328
5.84e-08,-0.1092951
5.85e-08,-0.1497245
5.86e-08,0.03889786
5.87e-08,-0.1733195
5.8800000000000004e-08,0.04075465
5.8900000000000005e-08,0.004669984
5.9e-08,-0.05424904
5.91e-08,-0.1899467
5.92e-08,-0.1000091
5.93e-08,-0.1602891
5.94e-08,-0.1348203
5.9500000000000003e-08,-0.2432029
5.9600000000000004e-08,-0.01468623
5.97e-08,-0.1787086
5.98e-08,-0.2259484
5.99e-08,0.02088362
6.000000000000001e-08,-0.03881953
6.01e-08,-0.1154595
6.02e-08,-0.05204214
6.03e-08,0.02259582
6.04e-08,-0.2246447
6.05e-08,-0.2805002
6.06e-08,-0.1332464
6.070000000000001e-08,-0.181345
6.08e-08,-0.1213458
6.09e-08,-0.1082344
6.1e-08,-0.1209827
6.11e-08,-0.1430237
6.12e-08,-0.09066125
6.13e-08,-0.05839846
6.140000000000001e-08,-0.1139788
6.15e-08,-0.1038956
6.16e-08,-0.0135959
6.17e-08,-0.2053154
6.18e-08,-0.02865344
6.19e-08,-0.176497
6.2e-08,-0.1909682
6.210000000000001e-08,-0.1678845
6.22e-08,0.01089519
6.230000000000001e-08,-0.1641027
6.24e-08,-0.1204351
6.25e-08,0.03539122
6.26e-08,-0.08166656
6.27e-08,0.01035651
6.28e-08,-0.06845482
6.29e-08,-0.166954
6.300000000000001e-08,-0.2277033
6.31e-08,-0.1626902
6.32e-08,-0.05038662
6.33e-08,-0.09052474
6.34e-08,-0.008215781
6.35e-08,-0.1137658
6.36e-08,-0.1032737
6.370000000000001e-08,-0.0008434961
6.38e-08,-0.09170347
6.39e-08,-0.09124489
6.4e-08,-0.03494054
6.41e-08,-0.1269112
6.42e-08,-0.1552291
6.43e-08,-0.09349903
6.440000000000001e-08,-0.1138289
6.45e-08,-0.1155981
6.46e-08,-0.08048759
6.47e-08,0.01314485
6.48e-08,-0.2870751
6.49e-08,-0.2369249
6.5e-08,-0.1550881
6.510000000000001e-08,-0.01881494
6.52e-08,-0.2723914
6.53e-08,-0.1809821
6.54e-08,0.02628542
6.55e-08,-0.1460754
6.56e-08,-0.05816871
6.57e-08,0.06697394
6.580000000000001e-08,-0.07017219
6.59e-08,-0.1421585
6.600000000000001e-08,-0.00363466
6.61e-08,0.08172832
6.62e-08,-0.2520886
6.63e-08,0.01205976
6.64e-08,-0.1471081
6.65e-08,-0.0805515
6.66e-08,-0.2015234
6.670000000000001e-08,-0.04511437
6.68e-08,-0.1485295
6.69e-08,0.009547967
6.7e-08,0.003855282
6.71e-08,-0.05706441
6.72e-08,-0.2753296
6.73e-08,-0.1110183
6.740000000000001e-08,-0.1354377
6.75e-08,0.01080938
6.76e-08,-0.08945584
6.77e-08,0.008615688
6.78e-08,-0.0300189
6.79e-08,-0.003935476
6.8e-08,-0.1127352
6.810000000000001e-08,0.04502842
6.82e-08,-0.1272554
6.83e-08,-0.06936784
6.84e-08,-0.1198723
6.85e-08,0.004907621
6.86e-08,-0.2599925
6.87e-08,0.05840563
6.880000000000001e-08,0.02138064
6.89e-08,-0.1183271
6.900000000000001e-08,0.09946904
6.91e-08,0.1185375
6.92e-08,0.001711793
6.93e-08,0.05900684
6.94e-08,0.07989379
6.950000000000001e-08,-0.04264516
6.96e-08,0.03085074
