cycle,time,phi[ngx/4 ngy/2],Ex[ngx/4 ngy/2],Ey[ngx/4 ngy/2]
206000,1.03e-06,6.290819e-01,7.231219e-01,-8.716029e-01
206020,1.0301e-06,6.281754e-01,5.481969e-01,-9.223481e-01
206040,1.0302e-06,6.246833e-01,8.731994e-01,-9.112900e-01
206060,1.0303e-06,6.224270e-01,7.511644e-01,-9.725563e-01
206080,1.0304e-06,6.156343e-01,4.767575e-01,-8.500502e-01
206100,1.0305e-06,6.236717e-01,6.322627e-01,-1.085961e+00
206120,1.0306e-06,6.239183e-01,5.685330e-01,-9.834827e-01
206140,1.0307e-06,6.114852e-01,6.745396e-01,-9.007108e-01
206160,1.0308e-06,6.013268e-01,4.455222e-01,-9.005551e-01
206180,1.0309e-06,6.121396e-01,5.572782e-01,-6.385641e-01
206200,1.031e-06,6.110191e-01,7.694525e-01,-6.961083e-01
206220,1.0311e-06,6.102657e-01,6.738830e-01,-7.706029e-01
206240,1.0312e-06,6.279202e-01,7.856244e-01,-7.719616e-01
206260,1.0313e-06,6.322904e-01,9.450024e-01,-5.627115e-01
206280,1.0314e-06,6.316187e-01,1.178447e+00,-6.560854e-01
206300,1.0315e-06,6.313972e-01,1.071599e+00,-6.895608e-01
206320,1.0316e-06,6.397061e-01,1.059519e+00,-6.240778e-01
206340,1.0317e-06,6.402540e-01,1.144590e+00,-5.506557e-01
206360,1.0318e-06,6.388684e-01,8.405579e-01,-7.196835e-01
206380,1.0319e-06,6.464123e-01,8.686731e-01,-5.687911e-01
206400,1.032e-06,6.457604e-01,9.975664e-01,-7.218552e-01
206420,1.0321e-06,6.369192e-01,9.373891e-01,-6.560022e-01
206440,1.0322e-06,6.349097e-01,7.567146e-01,-4.365609e-01
206460,1.0323e-06,6.394228e-01,1.030095e+00,-6.719456e-01
206480,1.0324e-06,6.442479e-01,7.106590e-01,-6.917415e-01
206500,1.0325e-06,6.483104e-01,8.236108e-01,-1.022914e+00
206520,1.0326e-06,6.613204e-01,8.908156e-01,-8.743906e-01
206540,1.0327e-06,6.494631e-01,9.184369e-01,-7.945111e-01
206560,1.0328e-06,6.417513e-01,8.326461e-01,-4.874631e-01
206580,1.0329e-06,6.428111e-01,7.524995e-01,-7.376544e-01
206600,1.033e-06,6.429970e-01,5.979354e-01,-6.970459e-01
206620,1.0331e-06,6.321731e-01,7.964858e-01,-5.458614e-01
206640,1.0332e-06,6.211382e-01,8.148813e-01,-9.000059e-01
206660,1.0333e-06,6.296147e-01,6.584826e-01,-1.026580e+00
206680,1.0334e-06,6.342273e-01,7.627476e-01,-9.598216e-01
206700,1.0335e-06,6.302766e-01,6.947321e-01,-9.744967e-01
206720,1.0336e-06,6.245751e-01,5.494946e-01,-1.164659e+00
206740,1.0337e-06,6.178004e-01,7.285169e-01,-8.493708e-01
206760,1.0338e-06,6.145975e-01,8.936450e-01,-9.303936e-01
206780,1.0339e-06,6.277115e-01,8.022932e-01,-1.095688e+00
206800,1.034e-06,6.281267e-01,8.732129e-01,-8.972422e-01
206820,1.0341e-06,6.236779e-01,7.291811e-01,-8.693513e-01
206840,1.0342e-06,6.204789e-01,7.955210e-01,-8.166494e-01
206860,1.0343e-06,6.226262e-01,1.054965e+00,-6.163197e-01
206880,1.0344e-06,6.270118e-01,8.495352e-01,-7.070395e-01
206900,1.0345e-06,6.344107e-01,1.009967e+00,-6.946377e-01
206920,1.0346e-06,6.423086e-01,9.450356e-01,-6.487932e-01
206940,1.0347e-06,6.418723e-01,1.093756e+00,-7.094448e-01
206960,1.0348e-06,6.320913e-01,1.001707e+00,-4.233902e-01
206980,1.0349e-06,6.363794e-01,7.692404e-01,-9.752831e-01
207000,1.035e-06,6.500807e-01,9.105974e-01,-7.723902e-01
207020,1.0351e-06,6.558500e-01,7.158995e-01,-6.006459e-01
207040,1.0352e-06,6.489463e-01,6.988791e-01,-6.560344e-01
207060,1.0353e-06,6.419252e-01,6.982410e-01,-6.481930e-01
207080,1.0354e-06,6.459501e-01,8.937944e-01,-6.765444e-01
207100,1.0355e-06,6.435594e-01,6.464378e-01,-6.552572e-01
207120,1.0356e-06,6.381415e-01,7.322789e-01,-6.512111e-01
207140,1.0357e-06,6.413807e-01,5.340271e-01,-8.607286e-01
207160,1.0358e-06,6.501475e-01,6.948114e-01,-6.327603e-01
207180,1.0359e-06,6.553324e-01,7.354525e-01,-7.321278e-01
207200,1.036e-06,6.504744e-01,9.200303e-01,-5.649058e-01
207220,1.0361e-06,6.440025e-01,6.307221e-01,-7.794911e-01
207240,1.0362e-06,6.452597e-01,7.495409e-01,-8.639366e-01
207260,1.0363e-06,6.355199e-01,6.921439e-01,-8.036235e-01
207280,1.0364e-06,6.389316e-01,6.659474e-01,-8.228511e-01
207300,1.0365e-06,6.403462e-01,6.722556e-01,-1.160215e+00
207320,1.0366e-06,6.265989e-01,6.414790e-01,-1.171389e+00
207340,1.0367e-06,6.192374e-01,5.778110e-01,-1.023809e+00
207360,1.0368e-06,6.295277e-01,8.348846e-01,-1.202079e+00
207380,1.0369e-06,6.324323e-01,4.213341e-01,-1.135822e+00
207400,1.037e-06,6.239405e-01,6.348602e-01,-9.498708e-01
207420,1.0371e-06,6.154366e-01,6.371958e-01,-1.085188e+00
207440,1.0372e-06,6.189687e-01,5.625046e-01,-1.063050e+00
207460,1.0373e-06,6.234320e-01,7.474813e-01,-1.042177e+00
207480,1.0374e-06,6.194441e-01,7.751051e-01,-1.049136e+00
207500,1.0375e-06,6.319600e-01,1.000292e+00,-1.056791e+00
207520,1.0376e-06,6.415262e-01,8.983653e-01,-7.098050e-01
